facility_id,facility_name,facility_type,subtype,owner_type,settlement,is_phcu,status,operational_status,region,zone,woreda,city,kebele,latitude,longitude,altitude,dhis2_id,ethiopian_national_facility_id,catchment_population,number_of_inpatient_beds,number_of_maternity_beds,number_of_emergency_beds,number_of_opd_rooms,number_of_ipd_rooms,number_of_laboratory_rooms,number_of_imaging_rooms,number_of_mch_rooms,number_of_icu_rooms,phone,facility_owners_name,referral_linkage,reports_to,year_opened,created_at_text,_sdc_extracted_at,region_canonical,region_raw,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
1049466,Burka Bori Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Omo Nada,Ale,Ale,,,,,238733-0,,,,,,,,,,,917804230,Awol ShehIsa Ahimad,,Omo Nada Woreda ,"መጋቢት 23,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Burka Bori Primary Clinic,Burka Bori Primary Clinic,burka bori primary clinic,B621,oromia,jimma zone,omo nada
1049471,Seyfu Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Omo Nada,Asendabo,Abdi Gudina,7.7530738,37.223319,1744.4,,238738-9,,,,1.0,1.0,,,,,,917821308,Seifu Jala Lofe,,Omo Nada Woreda ,"መጋቢት 19,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Seyfu Primary Clinic,Seyfu Primary Clinic,seyfu primary clinic,S116,oromia,jimma zone,omo nada
1049481,Bilile Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Seka Chekorsa,Sentema,Goro,,,,,238748-8,,,,,,,,,,,933334333,Miftahudin Abdusemad Haji,,Seka Chekorsa Woreda,"መጋቢት 12,2006","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bilile Primary Clinic,Bilile Primary Clinic,bilile primary clinic,B441,oromia,jimma zone,seka chekorsa
1049483,Jimate Primary clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Setema,Chefeta,Chefeta,7.9855924,36.2079836,0.0,,238750-4,,,,1.0,,,,,,,917055847,Tofik Shemsu Mustefa,,Setema Woreda ,"መጋቢት 9,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Jimate Primary clinic,Jimate Primary Clinic,jimate primary clinic,J531,oromia,jimma zone,setema
1049503,Rebira Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Nedhi Gibe,Ako,Ako,8.0288922,37.2024787,1969.8,,238770-2,,,,1.0,1.0,,,,,,911004986,Nebiat Tafese Zegeye,,Nedhi Gibe Woreda ,"መጋቢት 23,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Rebira Primary Clinic,Rebira Primary Clinic,rebira primary clinic,R161,oromia,jimma zone,nedhi gibe
1049508,Alito Weredi Health post,Health Post,Basic Health Post,Public/Government,Rural,No,Approved,Operational,oromia,East Wollega Zone,Gudeya Bila,Jare,Alito Weredi,9.0816904,36.5540922,2103.0,,238775-1,2500.0,,,1.0,1.0,,,,,,945213611,Goverment,,Efa biya Health Center,"ጥር 24,1997","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Alito Weredi Health post,Alito Weredi Health post,alito weredi health post,A436,oromia,east wollega zone,gudeya bila
1049510,Sombo Gadisa Health Post,Health Post,Basic Health Post,Public/Government,Rural,No,Approved,Operational,oromia,East Wollega Zone,Haro Limu,Haro,Sombo Gadisa,9.847183,36.3110725,2011.842,,238777-7,5000.0,,,,,,,,,,936928482,Government,,Homi Kelala Health Center,"ጥር 9,2002","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Sombo Gadisa Health Post,Sombo Gadisa Health Post,sombo gadisa health post,S512,oromia,east wollega zone,haro limu
1049516,Gonka Ija Health post,Health Post,Comprehensive Health Post,Public/Government,Rural,No,Approved,Operational,oromia,East Wollega Zone,Gudeya Bila,Jare,Gonka ija,9.0815907,36.5540593,2103.0,,238783-5,,,,1.0,1.0,,,,,,917364206,Government,,Jare Health Center,"ጥር 29,1999","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Gonka Ija Health post,Gonka Ija Health post,gonka ija health post,G522,oromia,east wollega zone,gudeya bila
1049517,Mahilet primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,East Wollega Zone,Diga,Gudetu Arjo,Gudetu Arjo,9.0396885,36.2475202,1327.4,,238784-3,3210.0,,,0.0,1.0,,,,,,967984948,Teshome Kedir Suleman,,Diga Woreda ,"ታኅሣሥ 29,1995","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Mahilet primary Clinic,Mahilet primary Clinic,mahilet primary clinic,M431,oromia,east wollega zone,diga
1049519,Dinsa Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,East Wollega Zone,Diga,Gudetu Arjo,Degaga Didesa,9.0138547,36.1701453,180.2,,238786-8,5000.0,,,0.0,1.0,,,,,,913449632,Miresa Dinsa Tolera,,Diga Woreda ,"ጥር 25,1995","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Dinsa Primary Clinic,Dinsa Primary Clinic,dinsa primary clinic,D521,oromia,east wollega zone,diga
1049520,Wama Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,East Wollega Zone,Diga,Oda gudina,Oda gudina,,,,,238787-6,3460.0,,,,,,,,,,917141362,Dejene Hirpha Dibaba ,,Diga Woreda ,"ጥር 4,1995","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Wama Primary Clinic,Wama Primary Clinic,wama primary clinic,W516,oromia,east wollega zone,diga
1049522,Abenezer Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Closed,oromia,Agaro Towm,Agaro Town,Agaro,01,,,,,238789-2,,,,,,,,,,,911074645,Eshetu Bikila,,,"መጋቢት 8,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Abenezer Drug Store,Abenezer Drug Store,abenezer drug store,A152,oromia,agaro towm,agaro town
1049523,Anbesa Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,B/Waritu,7.8558727,36.585644,1666.80004882812,,238790-0,,,,,,,,,,,917551562,Eba Yigezu Nigatu,,,"መጋቢት 10,2004","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Anbesa Drug Store,Anbesa Drug Store,anbesa drug store,A512,oromia,agaro towm,agaro town
1049524,Bikila Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,B/Waritu,7.8522322,36.584119,1686.32203702272,,238791-8,,,,,,,,,,,917062356,Bikila Ragasa Tasgar,,,"ነሐሴ 13,2013","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bikila Drug Store,Bikila Drug Store,bikila drug store,B243,oromia,agaro towm,agaro town
1049525,Elshaday Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,B/Waritu,7.8565942,36.5849812,1664.40002441406,,238792-6,,,,,,,,,,,912184524,Eyasu  Abka Abza,,,"የካቲት 12,2006","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Elshaday Drug Store,Elshaday Drug Store,elshaday drug store,E423,oromia,agaro towm,agaro town
1049526,Hawi Pharmacy,Pharmacy,pharmacy,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,Birbrsa Waritu,7.8522322,36.584119,1686.32203702272,,238793-4,,,,,,,,,,,917551566,Talila Deressa Lemu,,,"መጋቢት 11,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Hawi Pharmacy,Hawi Pharmacy,hawi pharmacy,H165,oromia,agaro towm,agaro town
1049529,Ker Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,BIrbisa Waritu,7.8540573,36.5897957,1632.20931115283,,238796-7,,,,,,,,,,,911171176,Mulugeta G/Maskel Goma,,,"መጋቢት 12,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Ker Drug Store,Ker Drug Store,ker drug store,K636,oromia,agaro towm,agaro town
1049530,Nura Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Agaro Towm,Agaro Town,Agaro,B/Agalo,7.8522322,36.584119,1686.32203702272,,238797-5,,,,,,,,,,,917801444,Mohamednur Haji Husen ,,,"መጋቢት 19,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Nura Drug Store,Nura Drug Store,nura drug store,N636,oromia,agaro towm,agaro town
1049531,Hiwot Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Botor Tolay,Wayu,Wayu,8.3066693,37.3635188,1522.0,,238798-3,,,,,,,,,,,912468006,Aschalew Abebe Eshetu ,,,"መጋቢት 7,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Hiwot Drugstore,Hiwot Drugstore,hiwot drugstore,H336,oromia,jimma zone,botor tolay
1049532,Wayu Drugstore,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Jimma Zone,Botor Tolay,Wayu,Wayu,8.3061233,37.3636006,1513.0,,238799-1,,,,,,,,,,,911948181,Tadesse Abebe Gebremariam,,,"መጋቢት 5,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Wayu Drugstore,Wayu Drugstore,wayu drugstore,W362,oromia,jimma zone,botor tolay
1049533,Abinet Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Chora Botor,Bage,Bage,8.3033458,37.1142186,1627.0,,238800-7,,,,,,,,,,,911985850,Niguse Teklesilase Wakjira,,,"መጋቢት 12,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Abinet Drugstore,Abinet Drugstore,abinet drugstore,A153,oromia,jimma zone,chora botor
1049534,Afiya Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Chora Botor,Bage,Bage,8.3045742,37.1145751,1636.0,,238801-5,,,,,,,,,,,911338760,Yishak Tesfaye Abdisa,,,"መጋቢት 11,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Afiya Drugstore,Afiya Drugstore,afiya drugstore,A136,oromia,jimma zone,chora botor
1049535,Hawi Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Chora Botor,Bega,Bega,,,,,238802-3,,,,,,,,,,,979072087,Makdes Bakibal Amara,,,"መጋቢት 14,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Hawi Drug Store,Hawi Drug Store,hawi drug store,H362,oromia,jimma zone,chora botor
1049536,Damu Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Dedo,Sheki,Shagar,7.507043,36.882094,2218.59985351562,,238803-1,,,,,,,,,,,923379468,Husen Abdulkadir Said,,,"መጋቢት 12,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Damu Drugstore,Damu Drugstore,damu drugstore,D536,oromia,jimma zone,dedo
1049537,Bekele Tekle Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Gera,Chira,01,7.7413357,36.2469822,2088.89990234375,,238804-9,,,,,,,,,,,917550398,Yehuwalashet Bekele Tekle,,,"መጋቢት 20,1981","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bekele Tekle Drugstore,Bekele Tekle Drugstore,bekele tekle drugstore,B243,oromia,jimma zone,gera
1049538,Dusta Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Gera,Dusta,Dusta,7.7411116,36.1971283,0.0,,238805-6,,,,,,,,,,,917016039,Biya Abajobir Abanano,,,"መጋቢት 15,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Dusta Drugstore,Dusta Drugstore,dusta drugstore,D233,oromia,jimma zone,gera
1049540,Hayu Medium Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,oromia,West Wollega Zone,Guliso,Guliso,Guliso 02,9.1612377,35.4734913,1611.0,,238807-2,4000.0,,,3.0,1.0,,1.0,1.0,,,913633806,Keno Yosef Tasisa,Aira General Hospital,Guliso Woreda,"ነሐሴ 6,2011","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Hayu Medium Clinic,Hayu Medium Clinic,hayu medium clinic,H535,oromia,west wollega zone,guliso
1049541,Dongoro Adventist Medium Clinic,Clinic,Medium Clinic,Private Not for profit,Urban,No,Approved,Operational,oromia,West Wollega Zone,Lalo Asabi,Dongoro,Dongoro 01,9.2682334,35.690509,1831.0,,238808-0,3000.0,,,2.0,3.0,,,,,,577710083,Gimbi Seventh Day Adventist General Hospital,Gimbi General Hospital,Lalo Asabi Woreda,"መጋቢት 9,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Dongoro Adventist Medium Clinic,Dongoro Adventist Medium Clinic,dongoro adventist medium clinic,D526,oromia,west wollega zone,lalo asabi
1049544,Ketim Medium Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,oromia,Nejo Town,Nejo Town,Nedjo Town,Nedjo 02,9.5022134,35.5093805,1879.89999999999,,238811-4,32000.0,,,2.0,1.0,,,,3.0,,965046089,Bayisa Bulti,Nedjo General Hospital,Nedjo Town,"ነሐሴ 5,2004","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Ketim Medium Clinic,Ketim Medium Clinic,ketim medium clinic,K355,oromia,nejo town,nejo town
1049545,Saboniat Medium Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,oromia,West Wollega Zone,Babo Gembel,Babo Gambel,Babo 02,,,,,238812-2,2612.0,,,,,,,,,,913052537,Bichaka Abdisa Lemi,Nedjo General Hospital,Babo Gembel Woreda,"ነሐሴ 26,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Saboniat Medium Clinic,Saboniat Medium Clinic,saboniat medium clinic,S153,oromia,west wollega zone,babo gembel
1049549,Imaltan Primary Clinic,Clinic,Primary Clinic,Private for profit,Urban,No,Approved,Operational,oromia,West Wollega Zone,Haru,Guracha Ujumo,Guracha Ujumo,9.3444797,34.5289782,1710.4,,238816-3,2351.0,,,2.0,1.0,,,,1.0,,919519660,Dessaleny Belina Abdisa,Gimbi General Hospital,Haru Woreda,"ጥር 5,2006","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Imaltan Primary Clinic,Imaltan Primary Clinic,imaltan primary clinic,I543,oromia,west wollega zone,haru
1049552,Rehobot Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,West Wollega Zone,Nedjo Rural,Sombo Guta,Sombo Guta,9.6215338,35.5138761,1912.0,,238819-7,3000.0,,1.0,1.0,1.0,,,,1.0,,917672548,Ifa Abose Jorgo,,Nedjo Rural Woreda ,"መስከረም 3,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Rehobot Primary Clinic,Rehobot Primary Clinic,rehobot primary clinic,R131,oromia,west wollega zone,nedjo rural
1049553,Amuma Yambel Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,West Wollega Zone,Nedjo Rural,Amuma Bedesso,Amuma Badeso,9.4982984,35.5097535,1842.69999999999,,238820-5,1768.0,,1.0,1.0,1.0,,,,1.0,,917298376,Zewdie Gemeda Roro,Nedjo General Hospital,Nedjo Rural Woreda ,"መስከረም 3,1989","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Amuma Yambel Primary Clinic,Amuma Yambel Primary Clinic,amuma yambel primary clinic,A555,oromia,west wollega zone,nedjo rural
1049554,Walin Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,West Wollega Zone,Nedjo Rural,Amuma Gute,Amuma Gute,,,,,238821-3,4500.0,,,,,,,,,,938465477,Diriba Negeri Lencho,Nedjo General Hospital,Nedjo Rural Woreda ,"ጳጉሜን 3,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Walin Primary Clinic,Walin Primary Clinic,walin primary clinic,W451,oromia,west wollega zone,nedjo rural
1049575,Galo 01 Health post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Sasiga,Galo,Galo 01,9.1719714,36.4629645,1773.7,,238842-9,,,,,,,,,,,917016946,Government,,Galo Health Center,"ጥር 29,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Galo 01 Health post,Galo 01 Health post,galo 01 health post,G443,oromia,east wollega zone,sasiga
1049576,Efa 01 Health post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Diga,Efa,Efa 01,9.030934,36.4494363,2209.2,,238843-7,,,,,,,,,,,917049594,Govrenment,,Diga Woreda ,"የካቲት 13,2012","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Efa 01 Health post,Efa 01 Health post,efa 01 health post,E143,oromia,east wollega zone,diga
1049577,Gudetu Arjo 01 Health Post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Diga,Gudetu Arjo,Gudetu Arjo 01,,,,,238844-5,,,,,,,,,,,921069837,Government,,Gudetu Arjo Health Center,"መጋቢት 27,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Gudetu Arjo 01 Health Post,Gudetu Arjo 01 Health Post,gudetu arjo 01 health post,G336,oromia,east wollega zone,diga
1049579,Geba Jimata 01 health post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Wayu Tuqa,Gaba Jimata,Gaba jimata 01,,,,,238846-0,,,,,,,,,,,911332832,Government,,Wayu Tuqa Woreda,"ጥር 29,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Geba Jimata 01 health post,Geba Jimata 01 health post,geba jimata 01 health post,G125,oromia,east wollega zone,wayu tuqa
1049580,Ano 01 Health post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Gobu Seyo,Ano,Ano 01,,,,,238847-8,,,,,,,,,,,917812516,Government,,Ano Health Center ,"ጥር 6,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Ano 01 Health post,Ano 01 Health post,ano 01 health post,A543,oromia,east wollega zone,gobu seyo
1049584,Bandira 01 Health post,Health Post,Basic Health Post,Public/Government,Urban,No,Approved,Closed,oromia,East Wollega Zone,Leqa Dulecha,Bandira,Bandira 01,,,,,238851-0,,,,,,,,,,,940878550,Government,,Bandira Health Center,"ጥር 27,2003","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bandira 01 Health post,Bandira 01 Health post,bandira 01 health post,B536,oromia,east wollega zone,leqa dulecha
1049586,Bati Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Gomma,Beshasha,Beshasha,7.795518,36.4772392,2048.79858398437,,238853-6,,,,,,,,,,,966883245,Tinsae Abera Dabo,,,"መጋቢት 8,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bati Drugstore,Bati Drugstore,bati drugstore,B336,oromia,jimma zone,gomma
1049587,Didibe Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Gomma,Didibe,Didibe,,,,,238854-4,,,,,,,,,,,917056057,Ababu Birasa Amu,,,"ግንቦት 7,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Didibe Drug Store,Didibe Drug Store,didibe drug store,D313,oromia,jimma zone,gomma
1049588,Oromia Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Gomma,Beshasha,Beshasha,7.9024529,36.4932068,1939.23510742187,,238855-1,,,,,,,,,,,948948188,Alamu Sora Adamu,,,"መጋቢት 4,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Oromia Drug Store,Oromia Drug Store,oromia drug store,O653,oromia,jimma zone,gomma
1049589,Bifa Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Town,Jimma Town,Jimma,Ginjo Guduru,8.0036477,36.490197,1711.0,,238856-9,,,,,,,,,,,913207041,Tariku Hirpasa Feyisa,,,"መጋቢት 16,2006","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bifa Drug Store,Bifa Drug Store,bifa drug store,B136,oromia,jimma town,jimma town
1049590,Sabona Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Gumay,Toba,01,8.0045957,36.487998,1734.40002441406,,238857-7,,,,,,,,,,,917618049,Muluken Mekonen Diriba,,,"መጋቢት 15,2006","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Sabona Drugstore,Sabona Drugstore,sabona drugstore,S153,oromia,jimma zone,gumay
1049593,Tesfa Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Kersa,Serbo,Wayu,7.712116,36.9831047,1785.508,,238860-1,,,,,,,,,,,917016067,Dawit Bulgu Abadacha,,,"መጋቢት 17,2004","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Tesfa Drugstore,Tesfa Drugstore,tesfa drugstore,T213,oromia,jimma zone,kersa
1049594,Amanuel Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Limu Kosa,Limu Ganet,01,8.0921498,36.948908,1709.40002441406,,238861-9,,,,,,,,,,,917829698,Terefe Duresa Motuma ,,,"መጋቢት 17,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Amanuel Drug Store,Amanuel Drug Store,amanuel drug store,A554,oromia,jimma zone,limu kosa
1049595,Derartu Pharmacy,Pharmacy,pharmacy,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Genet Town,Limu Genet,01,8.0943857,36.948865,1707.59997558593,,238862-7,,,,,,,,,,,930503985,Amsalu Alemayehu Mulu,,,"መጋቢት 18,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Derartu Pharmacy,Derartu Pharmacy,derartu pharmacy,D663,oromia,jimma zone,limu genet town
1049596,Eyasu Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Jimma Town,Jimma Town,Jimma ,Hirmata,7.6716557,36.8328813,1715.77905273437,,238863-5,,,,,,,,,,,939303473,Iyasu Mamo Haiyle,,,"መጋቢት 6,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Eyasu Drug Store,Eyasu Drug Store,eyasu drug store,E236,oromia,jimma town,jimma town
1049597,Elfata Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Kosa,Ambuye,Ambuye,7.9815006,36.9016856,1686.07395064089,,238864-3,,,,,,,,,,,911118939,Ahmad Kasaw Mahamed,,,"መጋቢት 16,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Elfata Drugstore,Elfata Drugstore,elfata drugstore,E413,oromia,jimma zone,limu kosa
1049598,Kenaol Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Closed,oromia,Jimma Zone,Limu Kosa,Ambuya,Ambuya,,,,,238865-0,,,,,,,,,,,948987117,Sisay Fikadu Mulata ,,,"መጋቢት 16,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Kenaol Drug Store,Kenaol Drug Store,kenaol drug store,K543,oromia,jimma zone,limu kosa
1049599,Kosa Drugstore,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Jimma Zone,Limu Genet Town,Limu Genet,01,8.0911072,36.9500472,1712.1845703125,,238866-8,,,,,,,,,,,911118940,Ashenafi Altaye Astatke,,,"መጋቢት 17,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Kosa Drugstore,Kosa Drugstore,kosa drugstore,K236,oromia,jimma zone,limu genet town
1049600,Rohbot Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Genet Town,Limu Genet,01,8.0915226,36.9494341,1719.943359375,,238867-6,,,,,,,,,,,912180905,Woynishet Defecho Tirore,,,"መጋቢት 17,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Rohbot Drugstore,Rohbot Drugstore,rohbot drugstore,R133,oromia,jimma zone,limu genet town
1049601,Yene Drugstore,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Jimma Zone,Limu Genet Town,Limu Genet,01,8.0945538,36.9488448,1707.59997558593,,238868-4,,,,,,,,,,,472260647,Yenenesh Getachew Ali,,,"መጋቢት 21,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Yene Drugstore,Yene Drugstore,yene drugstore,Y536,oromia,jimma zone,limu genet town
1049602,Zikra Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Kosa,Ambuye,Ambuye,7.9812923,36.9009206,1710.02256052372,,238869-2,,,,,,,,,,,914532189,Biya Abagidi Abagibe,,,"መጋቢት 21,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Zikra Drugstore,Zikra Drugstore,zikra drugstore,Z263,oromia,jimma zone,limu kosa
1049603,Kemer Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Seka,Dame,Dame,8.3468842,36.8039474,1578.0,,238870-0,,,,,,,,,,,925556797,Nezif Kedir Abadiga,,,"መጋቢት 10,2010","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Kemer Drugstore,Kemer Drugstore,kemer drugstore,K563,oromia,jimma zone,limu seka
1049604,Niyan Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Seka,Koma,Koma,8.4464499,36.8536909,1951.9,,238871-8,,,,,,,,,,,912560904,Gorfu Bekele Tase,,,"መጋቢት 8,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Niyan Drugstore,Niyan Drugstore,niyan drugstore,N536,oromia,jimma zone,limu seka
1049606,Kiltu Drugstore,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,oromia,Jimma Zone,Limu Seka,Atnago,01,8.3035889,36.9480201,1795.2,,238873-4,,,,,,,,,,,917957171,Belay Regasa Duresa,,,"መጋቢት 16,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Kiltu Drugstore,Kiltu Drugstore,kiltu drugstore,K433,oromia,jimma zone,limu seka
